H, l64, l32, l16
   2    ,6.14375000000001  ,6.14375000000001  ,6.14375000000001
   2.01 ,0.980500000000001 ,0.980500000000001 ,0.980500000000001
   2.02 ,0.882187500000001 ,0.882187500000001 ,0.882187500000001
   2.03 ,0.824000000000001 ,0.824000000000001 ,0.824000000000001
   2.04 ,0.782375000000001 ,0.782375000000001 ,0.782375000000001
   2.05 ,0.749875000000001 ,0.749875000000001 ,0.749875000000001
   2.06 ,0.723125000000001 ,0.723125000000001 ,0.723125000000001
   2.07 ,0.700375000000001 ,0.700375000000001 ,0.700375000000001
   2.08 ,0.680562500000001 ,0.680562500000001 ,0.680562500000001
   2.09 ,0.663062500000001 ,0.663062500000001 ,0.663062500000001
   2.1  ,0.647250000000001 ,0.647250000000001 ,0.647250000000001
   2.11 ,0.632937500000001 ,0.632937500000001 ,0.632937500000001
   2.12 ,0.619812500000001 ,0.619812500000001 ,0.619812500000001
   2.13 ,0.607687500000001 ,0.607687500000001 ,0.607625000000001
   2.14 ,0.596375000000001 ,0.596375000000001 ,0.596375000000001
   2.15 ,0.585875000000001 ,0.585875000000001 ,0.585812500000001
   2.16 ,0.575937500000001 ,0.575937500000001 ,0.575937500000001
   2.17 ,0.566625          ,0.566625          ,0.5665625
   2.18 ,0.557750000000001 ,0.557750000000001 ,0.557750000000001
   2.19 ,0.549375000000001 ,0.549375000000001 ,0.549312500000001
   2.2  ,0.5414375         ,0.5414375         ,0.5413125
   2.21 ,0.5338125         ,0.5338125         ,0.533687500000001
   2.22 ,0.526500000000001 ,0.526500000000001 ,0.526437500000001
   2.23 ,0.519500000000001 ,0.519500000000001 ,0.5194375
   2.24 ,0.5128125         ,0.5128125         ,0.512687500000001
   2.25 ,0.5063125         ,0.5063125         ,0.5061875
   2.26 ,0.500125          ,0.500125          ,0.5
   2.27 ,0.494125          ,0.494125          ,0.4939375
   2.28 ,0.4883125         ,0.4883125         ,0.488125
   2.29 ,0.4826875         ,0.4826875         ,0.4825
   2.3  ,0.4771875         ,0.4771875         ,0.477
   2.31 ,0.4719375         ,0.4719375         ,0.4716875
   2.32 ,0.4668125         ,0.4668125         ,0.4665625
   2.33 ,0.4618125         ,0.4618125         ,0.4615625
   2.34 ,0.4569375         ,0.4569375         ,0.456625
   2.35 ,0.4521875         ,0.4521875         ,0.451875
   2.36 ,0.4475625         ,0.4475625         ,0.44725
   2.37 ,0.4430625         ,0.4430625         ,0.44275
   2.38 ,0.4386875         ,0.4386875         ,0.4383125
   2.39 ,0.434375          ,0.434375          ,0.434
   2.4  ,0.4301875         ,0.4301875         ,0.42975
   2.41 ,0.426125          ,0.426125          ,0.425625
   2.42 ,0.4220625         ,0.4220625         ,0.4215625
   2.43 ,0.418125          ,0.418125          ,0.417625
   2.44 ,0.4143125         ,0.4143125         ,0.41375
   2.45 ,0.4105            ,0.4105            ,0.4099375
   2.46 ,0.4068125         ,0.4068125         ,0.4061875
   2.47 ,0.4031875         ,0.4031875         ,0.4025
   2.48 ,0.399625          ,0.399625          ,0.398875
   2.49 ,0.396125          ,0.396125          ,0.3953125
   2.5  ,0.392625          ,0.392625          ,0.391875
   2.51 ,0.38925           ,0.38925           ,0.3884375
   2.52 ,0.3859375         ,0.3859375         ,0.3850625
   2.53 ,0.3826875         ,0.3826875         ,0.38175
   2.54 ,0.3794375         ,0.3794375         ,0.3784375
   2.55 ,0.37625           ,0.37625           ,0.37525
   2.56 ,0.373125          ,0.373125          ,0.3720625
   2.57 ,0.3700625         ,0.37009375        ,0.3689375
   2.58 ,0.3670625         ,0.3670625         ,0.3658125
   2.59 ,0.3640625         ,0.3640625         ,0.3628125
   2.6  ,0.361125          ,0.361125          ,0.3598125
   2.61 ,0.35825           ,0.35825           ,0.3568125
   2.62 ,0.355375          ,0.355375          ,0.353875
   2.63 ,0.3525625         ,0.3525625         ,0.351
   2.64 ,0.34975           ,0.34975           ,0.348125
   2.65 ,0.347             ,0.347             ,0.3453125
   2.66 ,0.3443125         ,0.3443125         ,0.3425
   2.67 ,0.341625          ,0.341625          ,0.33975
   2.68 ,0.3389375         ,0.3389375         ,0.337
   2.69 ,0.336375          ,0.336375          ,0.3343125
   2.7  ,0.33375           ,0.33375           ,0.3316875
   2.71 ,0.33125           ,0.33125           ,0.32903125
   2.72 ,0.3286875         ,0.3286875         ,0.326375
   2.73 ,0.3261875         ,0.32621875        ,0.3238125
   2.74 ,0.32375           ,0.32375           ,0.32125
   2.75 ,0.3213125         ,0.3213125         ,0.3186875
   2.76 ,0.318875          ,0.318875          ,0.3161875
   2.77 ,0.3165            ,0.3165            ,0.3136875
   2.78 ,0.3141875         ,0.314125          ,0.31125
   2.79 ,0.3118125         ,0.3118125         ,0.30875
   2.8  ,0.3095            ,0.3095            ,0.306375
   2.81 ,0.30721875        ,0.30725           ,0.3039375
   2.82 ,0.305             ,0.3049375         ,0.3015625
   2.83 ,0.30271875        ,0.30275           ,0.2991875
   2.84 ,0.3005            ,0.3005            ,0.2968125
   2.85 ,0.2983125         ,0.2983125         ,0.2945
   2.86 ,0.296125          ,0.296125          ,0.2921875
   2.87 ,0.294             ,0.294             ,0.289875
   2.88 ,0.291875          ,0.291875          ,0.287625
   2.89 ,0.28975           ,0.28975           ,0.2853125
   2.9  ,0.2876875         ,0.287625          ,0.2830625
   2.91 ,0.2855625         ,0.2855625         ,0.2808125
   2.92 ,0.2835625         ,0.28353125        ,0.278625
   2.93 ,0.2815            ,0.28146875        ,0.2764375
   2.94 ,0.27946875        ,0.2794375         ,0.2741875
   2.95 ,0.27746875        ,0.2774375         ,0.2720625
   2.96 ,0.2755            ,0.27546875        ,0.269875
   2.97 ,0.2735625         ,0.2735            ,0.26771875
   2.98 ,0.2715625         ,0.2715625         ,0.2655625
   2.99 ,0.269625          ,0.269625          ,0.2634375
   3    ,0.26775           ,0.2676875         ,0.2613125
   3.01 ,0.2658125         ,0.2658125         ,0.2591875
   3.02 ,0.2639375         ,0.2639375         ,0.257125
   3.03 ,0.2620625         ,0.2620625         ,0.255
   3.04 ,0.26025           ,0.26021875        ,0.2529375
   3.05 ,0.258375          ,0.258375          ,0.250875
   3.06 ,0.25659375        ,0.25653125        ,0.2488125
   3.07 ,0.25475           ,0.25475           ,0.24675
   3.08 ,0.253             ,0.2529375         ,0.2446875
   3.09 ,0.25121875        ,0.2511875         ,0.242625
   3.1  ,0.2494375         ,0.24940625        ,0.240625
   3.11 ,0.2476875         ,0.247625          ,0.238625
   3.12 ,0.24596875        ,0.245875          ,0.2365625
   3.13 ,0.24425           ,0.2441875         ,0.23459375
   3.14 ,0.2425            ,0.24246875        ,0.23259375
   3.15 ,0.24084375        ,0.24075           ,0.23059375
   3.16 ,0.23915625        ,0.2390625         ,0.2285625
   3.17 ,0.2375            ,0.23740625        ,0.226625
   3.18 ,0.2358125         ,0.23571875        ,0.224625
   3.19 ,0.2341875         ,0.23409375        ,0.2226875
   3.2  ,0.23253125        ,0.2324375         ,0.2206875
   3.21 ,0.23090625        ,0.2308125         ,0.21875
   3.22 ,0.2293125         ,0.2291875         ,0.21675
   3.23 ,0.2276875         ,0.227625          ,0.2148125
   3.24 ,0.226125          ,0.226             ,0.212875
   3.25 ,0.2245625         ,0.2244375         ,0.210875
   3.26 ,0.223             ,0.22284375        ,0.20896875
   3.27 ,0.2214375         ,0.2213125         ,0.207
   3.28 ,0.2199375         ,0.21975           ,0.2050625
   3.29 ,0.218375          ,0.2181875         ,0.203125
   3.3  ,0.216875          ,0.2166875         ,0.2011875
   3.31 ,0.215375          ,0.2151875         ,0.19925
   3.32 ,0.213875          ,0.21365625        ,0.1973125
   3.33 ,0.212390625       ,0.2121875         ,0.195375
   3.34 ,0.2109375         ,0.2106875         ,0.1934375
   3.35 ,0.2094375         ,0.2091875         ,0.1915
   3.36 ,0.208             ,0.20775           ,0.1895625
   3.37 ,0.2065625         ,0.2063125         ,0.187625
   3.38 ,0.205125          ,0.20484375        ,0.1856875
   3.39 ,0.2036875         ,0.20340625        ,0.18375
   3.4  ,0.20228125        ,0.202             ,0.1818125
   3.41 ,0.20090625        ,0.2005625         ,0.179875
   3.42 ,0.1995            ,0.19915625        ,0.1779375
   3.43 ,0.198125          ,0.19778125        ,0.176
   3.44 ,0.19675           ,0.196375          ,0.1740625
   3.45 ,0.195375          ,0.195             ,0.1720625
   3.46 ,0.1940625         ,0.193625          ,0.170125
   3.47 ,0.1926875         ,0.19225           ,0.16815625
   3.48 ,0.19134375        ,0.1909375         ,0.1661875
   3.49 ,0.1900625         ,0.1895625         ,0.16425
   3.5  ,0.18875           ,0.188234375       ,0.16225
   3.51 ,0.18740625        ,0.186890625       ,0.16028125
   3.52 ,0.186125          ,0.1855625         ,0.15825
   3.53 ,0.18484375        ,0.18425           ,0.15625
   3.54 ,0.183546875       ,0.18296875        ,0.15428125
   3.55 ,0.1823125         ,0.1816875         ,0.15225
   3.56 ,0.181             ,0.180375          ,0.15021875
   3.57 ,0.17978125        ,0.1790625         ,0.1481875
   3.58 ,0.1785            ,0.1778125         ,0.146125
   3.59 ,0.17728125        ,0.1765625         ,0.144125
   3.6  ,0.176078125       ,0.17528125        ,0.1420625
   3.61 ,0.17484375        ,0.17403125        ,0.13996875
   3.62 ,0.17365625        ,0.1728125         ,0.137875
   3.63 ,0.1724375         ,0.1715625         ,0.13575
